training_loss,training_loss_rmse,training_loss_cos,validation_loss,validation_loss_rmse,validation_loss_cos
27.304023488808404,11.908096237763095,15.395927251045306,35.80109522010516,17.201884000200693,18.599211219904472
31.46225998311936,13.94493932254971,17.517320660569656,30.491807929082185,11.712412428355758,18.779395500726427
23.323401603711655,11.305079194358763,12.01832240935289,34.705823000141685,12.883370754055534,21.82245224608615
25.0774066970863,12.039607635429183,13.037799061657124,42.062557441580374,21.633582292338712,20.42897514924166
26.25182827765639,14.41064726107437,11.84118101658202,29.798194013829573,10.578316404444188,19.219877609385385
24.26931523431204,14.074558276248311,10.194756958063726,27.864625264352668,9.772917702715812,18.091707561636852
23.22164564240953,12.480606349183374,10.741039293226155,26.48658524685736,10.293955836329125,16.19262941052823
21.349082615728648,10.482854219852507,10.866228395876142,32.72685594620512,9.248996359749263,23.47785958645586
20.555286295177538,10.0338003681249,10.521485927052641,27.804191607553,10.368604492313192,17.43558711523981
19.77160895034271,10.768152887193365,9.003456063149349,29.011035258253276,11.41184972309243,17.599185535160846
28.624484187460023,13.9818669006329,14.642617286827122,54.0561967895213,15.086010062288343,38.970186727232964
27.256355847877135,13.237094884245968,14.019260963631167,47.35389964237797,25.163788116865927,22.19011152551204
23.82756562658065,12.230586783823673,11.596978842756977,32.727866621849685,13.366969367208457,19.360897254641234
24.875197915776077,13.282629119901598,11.592568795874477,51.5608253682428,16.107183708340433,35.453641659902374
33.25265192137758,13.380130467739855,19.872521453637724,31.082116426289755,12.995041752960361,18.087074673329393
29.30846252860757,11.23961084462731,18.06885168398026,31.25309487530905,10.483696474876925,20.769398400432124
27.949766102666484,14.453162029016632,13.49660407364985,40.662315270875936,12.378457475429064,28.28385779544687
21.019503753556037,9.63255993375832,11.386943819797715,37.814539608195275,11.61074506459864,26.20379454359663
20.10721283966035,11.208219036717297,8.898993802943052,29.11819217015463,12.990296700035563,16.127895470119064
22.786757889673716,10.198206571534179,12.588551318139535,25.268423070476196,9.361428969603498,15.906994100872698
17.264820329792045,10.045978118996409,7.218842210795636,29.098206046691004,12.104006760316217,16.994199286374783
18.27754547238068,9.971984203023776,8.305561269356902,50.225708790397555,12.308940433847047,37.916768356550506
18.690598980926445,8.18445954707219,10.506139433854255,42.460084302931065,15.653022861326653,26.807061441604414
27.437849204408504,12.538642707410949,14.899206496997556,48.599385156989655,14.467598499068446,34.13178665792121
22.76067136477754,10.343754767025526,12.416916597752014,27.604236628935634,13.614795796150492,13.989440832785142
19.829337953542957,10.716196135436052,9.113141818106907,23.110289823755693,10.827531667509671,12.282758156246022
27.029482396867014,9.482101353792256,17.547381043074754,27.721036039307357,11.36534121169351,16.35569482761385
18.693685304052323,9.819193290899904,8.874492013152418,32.786162100382015,13.291286136966946,19.49487596341507
19.86302350272135,10.07427339231763,9.78875011040372,27.9347217882623,16.120934806916264,11.81378698134604
24.956280720881143,11.442642104254928,13.513638616626217,32.95266833817371,10.017649034888596,22.935019303285117
23.1576328070775,12.332926494001605,10.824706313075906,39.23424468952985,12.6290854449513,26.60515924457855
23.68164616222348,12.695753859049937,10.985892303173543,33.704854027079584,10.815513800032736,22.889340227046848
21.192982716439918,9.971283852201001,11.221698864238922,28.154199038647143,12.994035924784663,15.160163113862481
21.74231435710186,11.031325888343115,10.710988468758751,35.06545996801795,16.78179855729107,18.28366141072687
23.929868723168404,13.960654500062615,9.969214223105789,26.965554614407157,10.939696619247513,16.02585799515964
18.49849886165162,9.773143963949614,8.725354897702003,25.40737108440827,9.933993913464931,15.473377170943337
17.365585664149886,9.754884895060103,7.610700769089787,21.959269127844188,9.48330436219965,12.475964765644537
17.819318827099572,9.70844854782006,8.110870279279512,23.887440129972507,10.12094777867342,13.766492351299087
17.094340693181103,9.658795469019017,7.435545224162083,24.691176921599585,9.408542619511294,15.282634302088288
15.657993581274889,8.813193412089168,6.844800169185722,22.024688074696286,10.465716609255463,11.558971465440823
15.777141173105697,9.049438150254717,6.727703022850982,25.991878431147633,10.22049532194578,15.771383109201855
13.242267799385786,7.214993269426765,6.027274529959022,26.74664949963385,10.865913889813104,15.880735609820746
13.552833449819213,8.090783290041418,5.462050159777792,28.063053970692007,12.433992119918603,15.629061850773402
14.391535522595499,8.266678780906851,6.124856741688646,19.259586928467293,8.622764222392139,10.636822706075154
15.97867816031393,8.422177198924935,7.556500961388992,23.406203959613578,10.50898660323229,12.89721735638129
